region,component,metric_suffix,metric_title,mean_col,slope,intercept,rvalue,r2,pvalue,stderr,n
C3,P50,mean_amp_roll_mean,Mean amplitude,P50_mean_amp_roll_mean,-0.010286878216555221,0.7736847283987448,-0.20646063388014044,0.042625993342189396,0.11348980782415152,0.006401373404423909,60
C3,N100,mean_amp_roll_mean,Mean amplitude,N100_mean_amp_roll_mean,0.02289943816179546,-5.52763397590801,0.4780685160497723,0.2285495060380314,0.00011195211129592593,0.005524267720910843,60
C3,P200,mean_amp_roll_mean,Mean amplitude,P200_mean_amp_roll_mean,0.0032182071728275407,5.093159385344379,0.0798398114622313,0.006374395494324642,0.5442515942316515,0.005275843277790305,60
C3,N200,mean_amp_roll_mean,Mean amplitude,N200_mean_amp_roll_mean,-0.01831622494814205,-1.1057624658535323,-0.3263625217063538,0.10651249557453027,0.010930439162101239,0.006965718718416315,60
C3,P300,mean_amp_roll_mean,Mean amplitude,P300_mean_amp_roll_mean,-0.016933489785265585,0.9446044753378646,-0.25072795409109244,0.06286450696270496,0.05332698352322232,0.00858481438859558,60
C3,P50,peak_amp_roll_mean,Peak amplitude,P50_peak_amp_roll_mean,0.0016434654412520956,3.510050069554431,0.03736275477893385,0.0013959754446707445,0.7768536981472747,0.00577170792750163,60
C3,N100,peak_amp_roll_mean,Peak amplitude,N100_peak_amp_roll_mean,0.02804121985850223,-10.412910121757212,0.5031616986020084,0.25317169494005837,4.1762010317224625e-05,0.006323910515117422,60
C3,P200,peak_amp_roll_mean,Peak amplitude,P200_peak_amp_roll_mean,0.008523999695040871,9.640927235167844,0.16911365163654923,0.028599427169848132,0.196454363465706,0.00652303845891684,60
C3,N200,peak_amp_roll_mean,Peak amplitude,N200_peak_amp_roll_mean,-0.025974001623696768,-5.367141891863459,-0.40381359791348104,0.16306542185983053,0.001376329641146854,0.00772662229678936,60
C3,P300,peak_amp_roll_mean,Peak amplitude,P300_peak_amp_roll_mean,-0.005554423599309969,8.889301245945525,-0.09761180526394951,0.009528064526887202,0.4581073104784149,0.0074360746868781516,60
